company|headline|link|homeurl|date
Atomwise (Private)|Sanofi signs $1.2B pact with Atomwise in latest high-value AI drug discovery deal|https://www.fiercebiotech.com/biotech/sanofi-signs-12b-pact-atomwise-latest-high-value-ai-drug-discovery-deal|https://www.atomwise.com|
Atomwise (Private)|Abe Heifets of Atomwise on How AI is Redefining Drug Discovery|https://brainsbehind.ai/atomwise/|https://www.atomwise.com|
Atomwise (Private)|Sanofi pays Atomwise $20 million in AI-enabled research pact|https://cen.acs.org/business/informatics/Sanofi-pays-Atomwise-20-million/100/i30|https://www.atomwise.com|
Atomwise (Private)|Sanofi, Atomwise Ink Potential $1B+ R&D Deal|https://www.biospace.com/article/atomwise-inks-potential-1-billion-plus-r-and-d-deal-with-sanofi/|https://www.atomwise.com|
Atomwise (Private)|Diving deeper into AI discovery, Sanofi signs 5-drug deal with Atomwise|https://pharmaphorum.com/news/diving-deeper-into-ai-discovery-sanofi-signs-5-drug-deal-with-atomwise/|https://www.atomwise.com|
Atomwise (Private)|A couple billion for Exscientia was only part of Sanofi’s AI ambitions, as the Big Pharma adds Atomwise to the table|https://endpts.com/a-couple-billion-for-exscientia-was-only-part-of-sanofis-ai-ambitions-as-the-big-pharma-adds-atomwise-to-the-table/|https://www.atomwise.com|
Atomwise (Private)|Sold on the New Machine|https://cen.acs.org/business/informatics/Sold-new-machine/100/i7|https://www.atomwise.com|
Relay Therapeutics|Relay Therapeutics Reports Second Quarter 2023 Financial Results and Corporate Highlights|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-reports-second-quarter-2023-financial-results|https://ir.relaytx.com|August 8, 2023
Relay Therapeutics|Relay Therapeutics to Announce Second Quarter 2023 Financial Results and Corporate Highlights on August 8, 2023|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-announce-second-quarter-2023-financial|https://ir.relaytx.com|August 1, 2023
Relay Therapeutics|Relay Therapeutics Announces Full Dose Escalation Data for RLY-4008|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-announces-full-dose-escalation-data-rly-4008|https://ir.relaytx.com|May 25, 2023
Relay Therapeutics|Relay Therapeutics to Participate in Two Upcoming Investor Conferences|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-participate-two-upcoming-investor-6|https://ir.relaytx.com|May 24, 2023
Relay Therapeutics|Relay Therapeutics Reports First Quarter 2023 Financial Results and Corporate Highlights|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-reports-first-quarter-2023-financial-results|https://ir.relaytx.com|May 4, 2023
Relay Therapeutics|Relay Therapeutics to Announce First Quarter 2023 Financial Results and Corporate Highlights|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-announce-first-quarter-2023-financial-results|https://ir.relaytx.com|April 27, 2023
Relay Therapeutics|Relay Therapeutics to Participate in Two Upcoming Investor Conferences|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-participate-two-upcoming-investor-3|https://ir.relaytx.com|April 19, 2023
Relay Therapeutics|Relay Therapeutics Announces Initial Clinical Data Demonstrating that RLY-2608 Selectively Targets Multiple PI3Kα Mutations|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-announces-initial-clinical-data-demonstrating|https://ir.relaytx.com|April 18, 2023
Relay Therapeutics|Relay Therapeutics to Present Initial Clinical Data on RLY-2608 at AACR|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-present-initial-clinical-data-rly-2608-aacr|https://ir.relaytx.com|March 6, 2023
Relay Therapeutics|Relay Therapeutics to Participate in Two Upcoming Investor Conferences|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-participate-two-upcoming-investor-5|https://ir.relaytx.com|March 1, 2023
Relay Therapeutics|Relay Therapeutics Reports Fourth Quarter and Full Year 2022 Financial Results and Corporate Highlights|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-reports-fourth-quarter-and-full-year-2022|https://ir.relaytx.com|February 23, 2023
Relay Therapeutics|Relay Therapeutics to Announce Fourth Quarter and Full Year 2022 Financial Results and Corporate Highlights|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-announce-fourth-quarter-and-full-year-2022|https://ir.relaytx.com|February 16, 2023
Relay Therapeutics|"Relay Therapeutics to Participate in Guggenheim Healthcare Talks | Oncology Day"|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-participate-guggenheim-healthcare-talks|https://ir.relaytx.com|February 2, 2023
Relay Therapeutics|Relay Therapeutics to Present at 41st Annual J.P. Morgan Healthcare Conference|https://ir.relaytx.com/news-releases/news-release-details/relay-therapeutics-present-41st-annual-jp-morgan-healthcare|https://ir.relaytx.com|January 3, 2023
Insilico Medicine (Private)|None|https://insilico.com|https://insilico.com|
Benevolent AI|Press release                                        21 Jun 2023 Board Change Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/board-change/|https://www.benevolent.com|June 21, 2023
Benevolent AI|Press release                                        05 Jun 2023 BenevolentAI progresses BEN-34712 for the potential treatment of ALS into IND-enabling studies Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-progresses-ben-34712-potential-treatment-als-ind-enabling-studies/|https://www.benevolent.com|June 05, 2023
Benevolent AI|Press release                                        31 May 2023 New preclinical data on AI-generated target identified in BenevolentAI and AstraZeneca collaboration presented at ATS 2023 Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/new-preclinical-data-ai-generated-target-identified-benevolentai-and-astrazeneca-collaboration-presented-ats-2023/|https://www.benevolent.com|May 31, 2023
Benevolent AI|Press release                                        25 May 2023 BenevolentAI unveils strategic plan to position the Company for a new era in AI Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-unveils-strategic-plan-position-company-new-era-ai/|https://www.benevolent.com|May 25, 2023
Benevolent AI|Press release                                        16 May 2023 9xchange joins forces with BenevolentAI to integrate its AI technology into its innovative biopharma marketplace Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/9xchange-joins-forces-benevolentai-integrate-its-ai-technology-its-innovative-biopharma-marketplace/|https://www.benevolent.com|May 16, 2023
Benevolent AI|Press release                                        04 May 2023 Result of Annual General Meeting Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/result-annual-general-meeting/|https://www.benevolent.com|May 04, 2023
Benevolent AI|Press release                                        05 Apr 2023 BenevolentAI announces top-line Phase IIa results for its topical pan-Trk inhibitor BEN-2293 (1%) in mild-to-moderate atopic dermatitis Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-announces-top-line-phase-iia-results-its-topical-pan-trk-inhibitor-ben-2293-1-mild-moderate-atopic-dermatitis/|https://www.benevolent.com|April 05, 2023
Benevolent AI|Press release                                        22 Mar 2023 BenevolentAI strengthens its Board of Directors with the appointment of digital innovation expert Marcello Damiani Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-strengthens-its-board-directors-appointment-digital-innovation-expert-marcello-damiani/|https://www.benevolent.com|March 22, 2023
Benevolent AI|Press release                                        16 Mar 2023 BenevolentAI Unaudited Preliminary Results for the Year Ended 31 December 2022 Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-unaudited-preliminary-results-year-ended-31-december-2022/|https://www.benevolent.com|March 16, 2023
Benevolent AI|Press release                                        16 Feb 2023 Notice of Preliminary Results Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/notice-preliminary-results/|https://www.benevolent.com|February 16, 2023
Benevolent AI|Press release                                        15 Feb 2023 BenevolentAI to present at the Cowen 43rd Annual Health Care Conference Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-present-cowen-43rd-annual-health-care-conference/|https://www.benevolent.com|February 15, 2023
Benevolent AI|In the media                                        16 Jan 2023 The Secret Sauce To BenevolentAI’s Ongoing Success Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/secret-sauce-benevolentais-ongoing-success/|https://www.benevolent.com|January 16, 2023
Benevolent AI|Press release                                        21 Dec 2022 BenevolentAI submits CTA for BEN-8744, an oral PDE10 inhibitor, as a first-in-class treatment for ulcerative colitis Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-submits-cta-ben-8744-oral-pde10-inhibitor-first-class-treatment-ulcerative-colitis/|https://www.benevolent.com|December 21, 2022
Benevolent AI|Press release                                        01 Dec 2022 BenevolentAI to present at 41st Annual J.P. Morgan Healthcare Conference Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-present-41st-annual-jp-morgan-healthcare-conference/|https://www.benevolent.com|December 01, 2022
Benevolent AI|Press release                                        04 Nov 2022 BenevolentAI To Present At Jefferies Investor Conference In November Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-present-jefferies-investor-conference-november/|https://www.benevolent.com|November 04, 2022
Benevolent AI|Press release                                        06 Oct 2022 BenevolentAI Achieves Further Milestones In AI-Enabled Target Identification Collaboration With AstraZeneca Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-achieves-further-milestones-ai-enabled-target-identification-collaboration-astrazeneca/|https://www.benevolent.com|October 06, 2022
Benevolent AI|Press release                                        27 Sep 2022 Analyst / Investor Event Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/analyst-investor-event/|https://www.benevolent.com|September 27, 2022
Benevolent AI|Press release                                        27 Sep 2022 Interim Results For The Six Months Ended 30 June 2022 Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/interim-results-six-months-ended-30-june-2022/|https://www.benevolent.com|September 27, 2022
Benevolent AI|Press release                                        16 Sep 2022 Analyst / Investor Event And Interim Results Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/analyst-investor-event-and-interim-results/|https://www.benevolent.com|September 16, 2022
Benevolent AI|Press release                                        26 Aug 2022 Notice Of Interim Results And Analyst / Investor Event Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/notice-interim-results-and-analyst-investor-event/|https://www.benevolent.com|August 26, 2022
Benevolent AI|Press release                                        06 Jul 2022 BenevolentAI Appoints GSK Drug Discovery Veteran Dr Nicola Richmond As Vice President Of AI Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-appoints-gsk-drug-discovery-veteran-dr-nicola-richmond-vice-president-ai/|https://www.benevolent.com|July 06, 2022
Benevolent AI|Press release                                        10 Jun 2022 BenevolentAI Announces Participation In Upcoming Investor Conferences Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-announces-participation-upcoming-investor-conferences/|https://www.benevolent.com|June 10, 2022
Benevolent AI|Press release                                        25 May 2022 BenevolentAI Announces Board Changes Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-announces-board-changes/|https://www.benevolent.com|May 25, 2022
Benevolent AI|Press release                                        17 May 2022 BenevolentAI Achieves Third Milestone In Its AI-Enabled Drug Discovery Collaboration With AstraZeneca Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-achieves-third-milestone-its-ai-enabled-drug-discovery-collaboration-astrazeneca/|https://www.benevolent.com|May 17, 2022
Benevolent AI|Press release                                        25 Apr 2022 BenevolentAI Begins Trading On Euronext Amsterdam Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-begins-trading-euronext-amsterdam/|https://www.benevolent.com|April 25, 2022
Benevolent AI|Press release                                        21 Apr 2022 BenevolentAI Joins The World Economic Forum’s Global Innovators Community Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/benevolentai-joins-world-economic-forums-global-innovators-community/|https://www.benevolent.com|April 21, 2022
Benevolent AI|Press release                                        20 Apr 2022 DNDi And BenevolentAI Collaborate To Accelerate Life-Saving Drug Discovery Research In Dengue Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/dndi-and-benevolentai-collaborate-accelerate-life-saving-drug-discovery-research-dengue/|https://www.benevolent.com|April 20, 2022
Benevolent AI|In the media                                        20 Mar 2022 Will AI turbocharge the hunt for new drugs? Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/will-ai-turbocharge-hunt-new-drugs/|https://www.benevolent.com|March 20, 2022
Benevolent AI|Press release                                        04 Mar 2022 RECOVERY Trial Results Demonstrate Baricitinib Reduces Deaths In Hospitalised COVID-19 Patients Read more|https://www.benevolent.com/news-and-media/press-releases-and-in-media/recovery-trial-results-demonstrate-baricitinib-reduces-deaths-hospitalised-covid-19-patients/|https://www.benevolent.com|March 04, 2022
